Category,Description
IT,New Organisation Created
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>13517 | BHATIA ALLOY FORGING"
Operations,Problem in salebillbook trader error while enterin
HR,Attandance
Marketing & Sales,Finish Free Trial Period
Other,Need 100;/bags pp
HR,Attandance
IT,Other Components
IT,Other Component
Training,S1/2 Lazy loading and input
Training,S2/2 Lazy loading and input
IT,13464 | VIKRAM FABRICATORS | N.A(Module) | User license count
IT,13465 | Royal Auto Tech | N.A(N.A) | General
Training,IT Training - 28 Nov 22
Other,"<small><font color=""#9E9E9E""><i>[Sub-2] </i></font></small>WIP MECHANISM"
IT,13468 | Vinayakk Press Tools | N.A(N.A) | License expire
IT,13470 | SWASTIK AUTOMECH PVT. LTD | N.A(N.A) | License expire
IT,13471 | Span Industries | N.A(N.A) | License expire
IT,13472 | Sita Singh & Sons Pvt. Ltd. | N.A(N.A) | License expire
IT,13473 | M Engg Unit2 | N.A(N.A) | License expire
IT,Pioneer company
IT,13474 | Pooja Metal Processors Pvt Ltd | N.A(N.A) | License expire
IT,13475 | Aluflex Systems | N.A(N.A) | License expire
IT,Jindal fabric
Operations,Car cleaning - 29 Nov 22
Operations,Coffee machine cleaning - 29 Nov 22
IT,13482 | Vinayakk Press Tools | N.A(N.A) | General
Training,S1/2 Card map and lazyloading
Training,S2/2 Card map and lazyloading
IT,13483 | Rajhans Pressings Pvt Ltd | RTGS Info(Module) | Modification
Other,Make digital signature
IT,13484 | BSL Castings Pvt. Ltd. | IMIR(Module) | General
IT,13487 | Pooja Metal Processors Pvt Ltd | Family Tool Production Report(Module) | Bug
IT,13488 | VIKRAM FABRICATORS | N.A(N.A) | License expire
IT,13489 | INTALIO PRIVATE LIMITED | GST Invoice(Module) | Bug Rectification
IT,13490 | Pooja Metal Processors Pvt Ltd | Family Tool Production Report(Module) | Data
IT,13491 | M Engg Unit2 | N.A(N.A) | Bug Rectification
IT,13493 | PMT ENGINEERS | N.A(N.A) | Bug Rectification
Other,Classic hardware shop 1 number market
Other,Miscellaneous Tasks - 30 Nov 22
Other,Miscellaneous Tasks - 30 Nov 22
IT,13494 | KRISHNA ENTERPRISES | Challan Out(Module) | Data Rectification
IT,13495 | SELF | N.A(N.A) | Ems Installation
IT,#Bug - Fusion industries limited
IT,13496 | Agro Engineering Works | N.A(Module) | License expire
IT,13497 | Rajhans Pressings Pvt Ltd | GST Invoice(Module) | General
Other,English Test
IT,Forgot to check in at time
IT,New Organisation Created
IT,New Organisation Created
IT,13499 | Royal Auto Tech (Sec-58) | N.A(Module) | License expire
Training,Xyz
IT,13502 | Alumex International | N.A(N.A) | Data Rectification
IT,13503 | PROMPTECH INDUSTRIAL PRODUCTS | MRN(Module) | Data Rectification
IT,13504 | Marks Ancillaries | N.A(Module) | License expire
Marketing & Sales,E-Invoice Cost Mail
IT,Add html in rights management
IT,13508 | Alumex International | Dispatch Advice(Module) | Bug Rectification
IT,13509 | SELF | Dispatch Advice(Module) | Bug Rectification
IT,13509 | SELF | N.A(N.A) | Bug Rectification
Other,Bsl imir complain
HR,Check in
IT,New Organisation Created
IT,New Organisation Created
IT,13515 | KRISHNA ENTERPRISES | Purchase Order(Module) | Bug Rectification
IT,13517 | BHATIA ALLOY FORGINGS PVT. LTD. | RouteCardV1(Module) | New Development
IT,13518 | SWASTIK AUTOMECH PVT. LTD | JobWork Billbook(Module) | Bug Rectification
IT,13519 | JAYEM AUTO INDUSTRIES PVT. LTD.(PRITHLA) | N.A(N.A) | User license count
IT,13520 | TAJ FORGINGS PVT. LTD. | N.A(N.A) | Bug Rectification
IT,13521 | Faridabad Bolt Tight Industries Pvt. Ltd. | Batch Printing(Module) | Bug Rect
IT,13522 | PROMPTECH INDUSTRIAL PRODUCTS | Purchase Billbook(Module) | Data Rectificatio
IT,13523 | Autotech Precision Works | N.A(Module) | License expire
HR,Attendance Verification Nov
IT,#Bug - TRE
Training,Attendence
IT,13524 | PROMPTECH INDUSTRIAL PRODUCTS | JobWork Billbook(Module) | Data Rectification
IT,13525 | SWASTIK AUTOMECH PVT. LTD | Pending Jobwork Bills(Report) | Data Rectificatio
IT,13526 | JAYEM AUTO INDUSTRIES PVT. LTD.(PRITHLA) | GST Invoice(Module) | Data Rectifi
Training,HR App Discussion - 01 Dec 22
IT,TrackHr App SQL Dev - 01 Dec 22
Finance,Cheque signing
IT,New Organisation Created
IT,New Organisation Created
Marketing & Sales,Searching Competitors Software
IT,13527 | AUTOVEA COMPONENTS | N.A(Module) | License expire
IT,#Bug - Sachinmulge
Other,Classic hardware shop and saarvee sales
IT,13498 | Bhupendra Steels Pvt. Ltd. | N.A(Module) | License expire
Training,Table Component
IT,13513 | BHATIA ALLOY FORGINGS PVT. LTD. | N.A(N.A) | User license count
IT,13516 | BHATIA ALLOY FORGINGS PVT. LTD. | GRN(Module) | Data Rectification
IT,13523 | Autotech Precision Works | N.A(Module) | License expire
Training,Meera Industries
Training,MARKS ANCILLARIES
HR,Attendance verification - 01 Jan 23
HR,Attendance verification - 01 Jan 23
HR,Attendance verification - 01 Jan 23
HR,Attendance verification - 01 Jan 23
HR,Attendance verification - 01 Jan 23
HR,Attendance verification - 01 Jan 23
Other,Order 3 coffee powder and 3 tea powder
IT,13534 | Alumex International | Scrap Voucher(Module) | Data Rectification
IT,13535 | Rajhans Industries | N.A(Module) | License expire
IT,Omega
Training,SetImage
Training,HR App Discussion - 02 Dec 22
IT,TrackHr App SQL Dev - 02 Dec 22
IT,13539 | Omega Bright Steel Pvt Ltd. | N.A(N.A) | Ems Installation
IT,13540 | Omega Bright Steel Pvt Ltd. | N.A(N.A) | Ems Installation
IT,New Organisation Created
IT,13541 | SELF | Raw Material MasterV1(Module) | Data Rectification
IT,Hella backup restore
HR,Travel expenses
IT,New Organisation Created
IT,New Organisation Created
IT,13552 | PROMPTECH INDUSTRIAL PRODUCTS | JobWork Billbook(Module) | Data Rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>13553 | PMT ENGINEERS | Prod"
IT,13566 | PROMPTECH INDUSTRIAL PRODUCTS | N.A(N.A) | General
Other,Take db backup from bhatia unit 1
Marketing & Sales,WhatsApp Story On All Offical Numbers
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
IT,13570 | RAJAN ENTERPRISES | Sale Schedule(Module) | General
HR,Attendance verification
HR,S1/8 Attendance verification?
HR,S2/8 Attendance verification?
HR,S3/8 Attendance verification?
HR,S4/8 Attendance verification?
HR,S5/8 Attendance verification?
HR,S6/8 Attendance verification?
HR,S7/8 Attendance verification?
HR,S8/8 Attendance verification?
IT,New Organisation Created
IT,New Organisation Created
Other,Classic hardware shop and s.s electronics shop
Training,Training in vppl
Marketing & Sales,"Caontact marketing shashtra, not picking call"
Training,Javascript
HR,For attendance
Operations,Car cleaning - 02 Dec 22
Operations,Coffee machine cleaning - 02 Dec 22
HR,Attendance verification - 01 Jan 23
HR,Blood testreport - 01 Jan 23
HR,Attendance verification - 01 Jan 23
HR,Attendance verification - 01 Jan 23
HR,Attendance verification - 01 Jan 23
IT,13529 | Span Industries | Challan Out(Module) | Data Rectification
IT,ColdForge
IT,13534 | Alumex International | Scrap Voucher(Module) | Data Rectification
Marketing & Sales,Bhavsar Bug
IT,Attendance ticket
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>13532 | BSL Castings Pvt. Lt"
Training,Component
IT,13542 | BHATIA ALLOY FORGINGS PVT. LTD. | RouteCardV1(Module) | Bug Rectification
Finance,Voucher
IT,13543 | RAJAN ENTERPRISES | N.A(N.A) | General
IT,New Organisation Created
IT,New Organisation Created
IT,13551 | PROMPTECH INDUSTRIAL PRODUCTS | N.A(N.A) | General
IT,13555 | SELF | Dispatch(Module) | General
IT,13559 | KRISHNA ENTERPRISES | Journal Voucher(Module) | General
IT,13560 | BSL Castings Pvt. Ltd. | Party Jobwork OSP Ledger(Report) | Data Rectificatio
IT,New Organisation Created
IT,New Organisation Created
Training,State List
Operations,Deep computer
IT,New Organisation Created
IT,New Organisation Created
IT,Print file changes
HR,Attendance verification - 01 Jan 23
HR,Verify self attendance in TrackHR - 01 Jan 23
HR,Monthly Attendance verification - 01 Jan 23
HR,Check in Not proceed at time check in at 9:39
Training,Table Component
IT,13530 | Rajhans Presssings Pvt. Ltd. (Unit-III) | GST Invoice(Module) | General
IT,13531 | SELF | Purchase Order(Module) | General
IT,13532 | BSL Castings Pvt. Ltd. | RouteCardV1(Module) | General
IT,13533 | Sant Bhagat Singh Ji Maharaj Charitable Trust Hospital | Blood Report(Module)
IT,13536 | BHATIA ALLOY FORGINGS PVT. LTD. | MTS(Module) | Bug Rectification
IT,13537 | Span Industries | N.A(N.A) | Backup
IT,Backup and restore
IT,13541 | SELF | Raw Material MasterV1(Module) | Data Rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub-2] </i></font></small>13517 | BHATIA ALLOY FORGI"
Other,Classic hardware and Deep computer
IT,13547 | Rajhans Industries | Sale Order II(Module) | Data Rectification
IT,13550 | BSL Castings Pvt. Ltd. | GSTR-1(Report) | General
IT,13563 | Sita Singh & Sons Pvt. Ltd. | GST Invoice(Module) | Bug Rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>13507 | SWASTIK ENGINEERS |"
IT,13568 | JAYEM AUTO INDUSTRIES PVT. LTD.(SEC-6) | N.A(N.A) | General
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>13555 | SELF | Dispatch(Modu"
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
IT,13595 | TAJ FORGINGS PVT. LTD. | N.A(N.A) | General
Marketing & Sales,Story On Offical Numbers
Finance,Payment chaseup trackhr parties - 07 Jan 23
IT,13597 | SELF | Purchase OrderV1(Module) | Data Rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>13597 | SELF | Purchase Orde"
IT,13599 | SELF | Raw Material MasterV1(Module) | Bug Rectification
IT,13601 | PROMPTECH INDUSTRIAL PRODUCTS | Balance Sheet(Module) | General
IT,Restore VPPl in your system
IT,13528 | ColdForge | GST Invoice(Module) | Bug Rectification
IT,New Organisation Created
IT,New Organisation Created
IT,13544 | JAYEM AUTO INDUSTRIES PVT. LTD.(SEC-6) | Trial Balance(Report) | General
Operations,Coffee machine cleaning - 05 Dec 22
IT,Please take backup and restore in server(arvind)
IT,13556 | BHATIA ALLOY FORGINGS PVT. LTD. | GRN(Module) | General
IT,13565 | Omega Bright Steel Pvt Ltd. | N.A(N.A) | General
Marketing & Sales,Like and Share
Other,Attendence verification November month
IT,New Organisation Created
IT,New Organisation Created
Operations,Coffee machine cleaning - 09 Dec 22
Other,Check out time for 6th December short leave
IT,13602 | INTALIO PRIVATE LIMITED | N.A(N.A) | Ems Installation
IT,Vaishnavi polymers
IT,YUNIKON INDUSTRIES PRIVATE LIMITED
IT,New Organisation Created
IT,New Organisation Created
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>13596 | Alumex International"
IT,13604 | BSL Castings Pvt. Ltd. | Stock Reconcilation(Module) | General
IT,13605 | Alumex International | User Usage Report(Report) | General
IT,Omega
IT,13609 | BSL Castings Pvt. Ltd. | Journal Voucher(Module) | General
IT,#Bug - SheWings
Training,Omega bright steel
IT,#Bug - SheWings
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
IT,15507 | BSL Castings Pvt. Ltd. | N.A(N.A) | Bug Rectification
IT,[Sub] 15509 | INTALIO PRIVATE LIMI
IT,15520 | INTALIO PRIVATE LIMITED | GST Invoice(Module) | Data Rectification
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
IT,[Sub] 15500 | JAYEM AUTO INDUSTRIE
IT,Find router suitable for 100 clients
IT,15535 | Aluflex Systems | N.A(N.A) | Backup
IT,15541 | Rajhans Industries | Voucher(Module) | Bug Rectification
IT,15545 | KRISHNA ENTERPRISES | N.A(N.A) | User license count
IT,15508 | SELF | N.A(N.A) | New Development
IT,15449 | SELF | N.A(N.A) | New Development
IT,15452 | SELF | N.A(N.A) | New Development
Finance,"Samrat seed bill make, payment chase up"
IT,Omega meeting
HR,IT
IT,[Sub] 15511 | BSL Castings Pvt. Lt
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>15479 | Arvind Engineers | N"
IT,15525 | PROMPTECH INDUSTRIAL PRODUCTS | Pending Jobwork Bills(Report) | Bug Rectifica
IT,15527 | YAMAN INDUSTRIES | JobWork Billbook(Module) | Bug Rectification
IT,[Sub] 15529 | Aluflex Systems | N.
IT,[Sub] 15499 | Ajay Engineering Wor
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>15487 | SELF | Advance Adjus"
Operations,Coffee machine cleaning and reading note - 04 May 23
HR,Office cleanliness checking and mark in google she
IT,15534 | Omega Bright Steel Pvt Ltd. | Production Work Order (Jobwork)(Module) | Bug R
IT,Test ticket
IT,15547 | BSL Castings Pvt. Ltd. | Voucher(Module) | Bug Rectification
IT,15549 | Rajhans Pressings Pvt Ltd | Jobwork (OSP) Ledger(Report) | Bug Rectification
Other,Appointment Letter
Other,1003
Other,Take database backup from arvind 24.
IT,15559 | YAMAN INDUSTRIES | N.A(N.A) | User license count
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>15535 | Aluflex Systems | N."
IT,15562 | SELF | Balance Sheet(Module) | Bug Rectification
IT,Training given to bunty
IT,15566 | Rajhans Pressings Pvt Ltd | Jobwork (OSP) Ledger(Report) | Bug Rectification
IT,15573 | YAMAN INDUSTRIES | MRN(Module) | Bug Rectification
IT,Jayem and Siddhi
IT,New Organisation Created
IT,15512 | Alumex International | Jobwork (OSP) Ledger(Report) | Bug Rectification
IT,[Sub-2] 15431 | SRI AUROBINDO AUTO
Other,Trackhr form
IT,15524 | Rajhans Pressings Pvt Ltd | N.A(N.A) | License expire
IT,[Sub] 15526 | Karan Automotives Pv
Other,Take backup and restore on server
IT,Given training to Bunty
IT,15532 | SELF | Material ReceiptV2(Module) | Bug Rectification
Finance,Meeting with sonal sir regarding books closure
IT,Marks ancillary
IT,15539 | Omega Bright Steel Pvt Ltd. | Purchase OrderV1(Module) | Bug Rectification
Marketing & Sales,Share The Commercial
IT,15542 | Royal Auto Tech | Purchase Schedule(Module) | Bug Rectification
IT,15543 | Omega Bright Steel Pvt Ltd. | RouteCardV1(Module) | Bug Rectification
IT,15552 | SELF | N.A(N.A) | Bug Rectification
Operations,Parnami sales
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>15452 | SELF | N.A(N.A) | Ne"
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
